x,y,z,field
0.75,0.0,-4.5,-0.028
0.75,0.375,-4.5,0.018
0.75,0.75,-4.5,0.063
-0.75,-0.75,-3.0,-0.113
-0.75,-0.375,-3.0,-0.067
-0.75,0.0,-3.0,-0.023
-0.75,0.375,-3.0,0.023
-0.75,0.75,-3.0,0.068
-0.375,-0.75,-3.0,-0.101
-0.375,-0.375,-3.0,-0.056
-0.375,0.0,-3.0,-0.01
-0.375,0.375,-3.0,0.034
-0.375,0.75,-3.0,0.079
0.0,-0.75,-3.0,-0.1
0.0,-0.375,-3.0,-0.054
0.0,0.0,-3.0,-0.008
0.0,0.375,-3.0,0.037
0.0,0.75,-3.0,0.082
0.375,-0.75,-3.0,-0.102
0.375,-0.375,-3.0,-0.057
0.375,0.0,-3.0,-0.013
0.375,0.375,-3.0,0.033
0.375,0.75,-3.0,0.078
0.75,-0.75,-3.0,-0.117
0.75,-0.375,-3.0,-0.072
0.75,0.0,-3.0,-0.028
0.75,0.375,-3.0,0.018
0.75,0.75,-3.0,0.063
-0.75,-0.75,-1.5,-0.113
-0.75,-0.375,-1.5,-0.067
-0.75,0.0,-1.5,-0.023
-0.75,0.375,-1.5,0.023
-0.75,0.75,-1.5,0.068
-0.375,-0.75,-1.5,-0.101
-0.375,-0.375,-1.5,-0.055
-0.375,0.0,-1.5,-0.009
-0.375,0.375,-1.5,0.036
-0.375,0.75,-1.5,0.08
0.0,-0.75,-1.5,-0.099
0.0,-0.375,-1.5,-0.054
0.0,0.0,-1.5,-0.008
0.0,0.375,-1.5,0.037
0.0,0.75,-1.5,0.082
0.375,-0.75,-1.5,-0.102
0.375,-0.375,-1.5,-0.057
0.375,0.0,-1.5,-0.013
0.375,0.375,-1.5,0.033
0.375,0.75,-1.5,0.078
0.75,-0.75,-1.5,-0.117
0.75,-0.375,-1.5,-0.072
0.75,0.0,-1.5,-0.026
0.75,0.375,-1.5,0.019
0.75,0.75,-1.5,0.063
-0.75,-0.75,0.0,-0.112
-0.75,-0.375,0.0,-0.067
-0.75,0.0,0.0,-0.023
-0.75,0.375,0.0,0.023
-0.75,0.75,0.0,0.068
-0.375,-0.75,0.0,-0.101
-0.375,-0.375,0.0,-0.055
-0.375,0.0,0.0,-0.009
-0.375,0.375,0.0,0.036
-0.375,0.75,0.0,0.08
0.0,-0.75,0.0,-0.099
0.0,-0.375,0.0,-0.054
0.0,0.0,0.0,-0.007
0.0,0.375,0.0,0.038
0.0,0.75,0.0,0.083
0.375,-0.75,0.0,-0.102
0.375,-0.375,0.0,-0.057
0.375,0.0,0.0,-0.01
0.375,0.375,0.0,0.034
0.375,0.75,0.0,0.079
0.75,-0.75,0.0,-0.117
0.75,-0.375,0.0,-0.071
0.75,0.0,0.0,-0.026
0.75,0.375,0.0,0.019
0.75,0.75,0.0,0.064
-0.75,-0.75,1.5,-0.112
-0.75,-0.375,1.5,-0.067
-0.75,0.0,1.5,-0.023
-0.75,0.375,1.5,0.023
-0.75,0.75,1.5,0.068
-0.375,-0.75,1.5,-0.101
-0.375,-0.375,1.5,-0.055
-0.375,0.0,1.5,-0.009
-0.375,0.375,1.5,0.036
-0.375,0.75,1.5,0.08
0.0,-0.75,1.5,-0.099
0.0,-0.375,1.5,-0.054
0.0,0.0,1.5,-0.007
0.0,0.375,1.5,0.038
0.0,0.75,1.5,0.083
0.375,-0.75,1.5,-0.102
0.375,-0.375,1.5,-0.056
0.375,0.0,1.5,-0.01
0.375,0.375,1.5,0.034
0.375,0.75,1.5,0.079
0.75,-0.75,1.5,-0.117
0.75,-0.375,1.5,-0.071
0.75,0.0,1.5,-0.026
0.75,0.375,1.5,0.019
0.75,0.75,1.5,0.064
-0.75,-0.75,3.0,-0.113
-0.75,-0.375,3.0,-0.067
-0.75,0.0,3.0,-0.023
-0.75,0.375,3.0,0.023
-0.75,0.75,3.0,0.068
-0.375,-0.75,3.0,-0.101
-0.375,-0.375,3.0,-0.055
-0.375,0.0,3.0,-0.009
-0.375,0.375,3.0,0.036
-0.375,0.75,3.0,0.08
0.0,-0.75,3.0,-0.099
0.0,-0.375,3.0,-0.054
0.0,0.0,3.0,-0.007
0.0,0.375,3.0,0.038
0.0,0.75,3.0,0.083
0.375,-0.75,3.0,-0.102
0.375,-0.375,3.0,-0.056
0.375,0.0,3.0,-0.01
0.375,0.375,3.0,0.034
0.375,0.75,3.0,0.079
0.75,-0.75,3.0,-0.116
0.75,-0.375,3.0,-0.07
0.75,0.0,3.0,-0.025
0.75,0.375,3.0,0.021
0.75,0.75,3.0,0.065
-0.75,-0.75,4.5,-0.112
-0.75,-0.375,4.5,-0.067
-0.75,0.0,4.5,-0.021
-0.75,0.375,4.5,0.024
-0.75,0.75,4.5,0.068
-0.375,-0.75,4.5,-0.101
-0.375,-0.375,4.5,-0.055
-0.375,0.0,4.5,-0.009
-0.375,0.375,4.5,0.036
-0.375,0.75,4.5,0.08
0.0,-0.75,4.5,-0.099
0.0,-0.375,4.5,-0.053
0.0,0.0,4.5,-0.007
0.0,0.375,4.5,0.038
0.0,0.75,4.5,0.083
0.375,-0.75,4.5,-0.101
0.375,-0.375,4.5,-0.056
0.375,0.0,4.5,-0.01
0.375,0.375,4.5,0.034
0.375,0.75,4.5,0.08
0.75,-0.75,4.5,-0.116
0.75,-0.375,4.5,-0.07
0.75,0.0,4.5,-0.025
0.75,0.375,4.5,0.021
0.75,0.75,4.5,0.065
-0.75,-0.75,6.0,-0.112
-0.75,-0.375,6.0,-0.067
-0.75,0.0,6.0,-0.021
-0.75,0.375,6.0,0.024
-0.75,0.75,6.0,0.069
-0.375,-0.75,6.0,-0.1
-0.375,-0.375,6.0,-0.055
-0.375,0.0,6.0,-0.008
-0.375,0.375,6.0,0.037
-0.375,0.75,6.0,0.082
0.0,-0.75,6.0,-0.099
0.0,-0.375,6.0,-0.053
0.0,0.0,6.0,-0.007
0.0,0.375,6.0,0.038
0.0,0.75,6.0,0.083
0.375,-0.75,6.0,-0.101
0.375,-0.375,6.0,-0.056
0.375,0.0,6.0,-0.009
0.375,0.375,6.0,0.036
0.375,0.75,6.0,0.08
0.75,-0.75,6.0,-0.115
0.75,-0.375,6.0,-0.069
0.75,0.0,6.0,-0.024
0.75,0.375,6.0,0.022
0.75,0.75,6.0,0.067
-0.75,-0.75,7.5,-0.112
-0.75,-0.375,7.5,-0.066
-0.75,0.0,7.5,-0.021
-0.75,0.375,7.5,0.024
-0.75,0.75,7.5,0.069
-0.375,-0.75,7.5,-0.1
-0.375,-0.375,7.5,-0.055
-0.375,0.0,7.5,-0.008
-0.375,0.375,7.5,0.037
-0.375,0.75,7.5,0.082
0.0,-0.75,7.5,-0.097
0.0,-0.375,7.5,-0.053
0.0,0.0,7.5,-0.007
0.0,0.375,7.5,0.039
0.0,0.75,7.5,0.084
0.375,-0.75,7.5,-0.101
0.375,-0.375,7.5,-0.056
0.375,0.0,7.5,-0.009
0.375,0.375,7.5,0.036
0.375,0.75,7.5,0.08
0.75,-0.75,7.5,-0.116
0.75,-0.375,7.5,-0.07
0.75,0.0,7.5,-0.025
0.75,0.375,7.5,0.021
0.75,0.75,7.5,0.065
-0.75,-0.75,9.0,-0.111
-0.75,-0.375,9.0,-0.066
-0.75,0.0,9.0,-0.021
-0.75,0.375,9.0,0.024
-0.75,0.75,9.0,0.069
-0.375,-0.75,9.0,-0.1
-0.375,-0.375,9.0,-0.055
-0.375,0.0,9.0,-0.008
-0.375,0.375,9.0,0.037
-0.375,0.75,9.0,0.082
0.0,-0.75,9.0,-0.097
0.0,-0.375,9.0,-0.053
0.0,0.0,9.0,-0.007
0.0,0.375,9.0,0.038
0.0,0.75,9.0,0.083
0.375,-0.75,9.0,-0.101
0.375,-0.375,9.0,-0.056
0.375,0.0,9.0,-0.009
0.375,0.375,9.0,0.034
0.375,0.75,9.0,0.079
0.75,-0.75,9.0,-0.116
0.75,-0.375,9.0,-0.07
0.75,0.0,9.0,-0.025
0.75,0.375,9.0,0.021
0.75,0.75,9.0,0.065
-0.75,-0.75,10.5,-0.11
-0.75,-0.375,10.5,-0.065
-0.75,0.0,10.5,-0.02
-0.75,0.375,10.5,0.024
-0.75,0.75,10.5,0.068
-0.375,-0.75,10.5,-0.099
-0.375,-0.375,10.5,-0.054
-0.375,0.0,10.5,-0.008
-0.375,0.375,10.5,0.036
-0.375,0.75,10.5,0.08
0.0,-0.75,10.5,-0.096
0.0,-0.375,10.5,-0.051
0.0,0.0,10.5,-0.005
0.0,0.375,10.5,0.038
0.0,0.75,10.5,0.082
0.375,-0.75,10.5,-0.1
0.375,-0.375,10.5,-0.055
0.375,0.0,10.5,-0.009
0.375,0.375,10.5,0.034
0.375,0.75,10.5,0.078
0.75,-0.75,10.5,-0.115
0.75,-0.375,10.5,-0.07
0.75,0.0,10.5,-0.025
0.75,0.375,10.5,0.019
